2025-03-23T23:47:58.944197+0700 | __main__ | INFO | Sentiment Forecasting Params- 
 Client: ferrero |
 Suffix: test |
 Output File Name: ferrero_predicted_test.feather |

2025-03-23T23:48:22.931641+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:23.017493+0700 | src.utilities.utils | INFO | Model failed with seasonal order 12: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:23.818255+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:23.889266+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:24.037746+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:24.176557+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:24.389673+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:24.969733+0700 | src.utilities.utils | INFO | Model failed with seasonal order 12: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:25.778086+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:27.199619+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:27.232449+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:27.257116+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:27.688004+0700 | src.utilities.utils | INFO | Model failed with seasonal order 3: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:27.691841+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:27.715455+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:27.903319+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:27.921934+0700 | src.utilities.utils | INFO | Model failed with seasonal order 2: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:27.922016+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:28.508209+0700 | src.utilities.utils | INFO | Model failed with seasonal order 3: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:28.511501+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:28.524757+0700 | src.utilities.utils | INFO | Model failed with seasonal order 4: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:28.531762+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:29.758913+0700 | src.utilities.utils | INFO | Model failed with seasonal order 12: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:29.776058+0700 | src.utilities.utils | INFO | Model failed with seasonal order 12: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:29.805220+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:29.827535+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:33.130052+0700 | src.utilities.utils | INFO | Model failed with seasonal order 2: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:33.130164+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:33.152674+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:33.906574+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:34.245959+0700 | src.utilities.utils | INFO | Model failed with seasonal order 12: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:34.315581+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:34.602541+0700 | src.utilities.utils | INFO | Model failed with seasonal order 2: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:34.602648+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:34.769015+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:34.797615+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:36.415953+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:36.438535+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:37.585431+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:38.036577+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:38.979691+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:39.053297+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:39.124160+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:39.144712+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:39.204784+0700 | src.utilities.utils | INFO | Model failed with seasonal order 2: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:39.204880+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:39.225944+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:39.485735+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:39.943049+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:39.988723+0700 | src.utilities.utils | INFO | Model failed with seasonal order 3: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:39.992006+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:40.014441+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:40.871317+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:40.873134+0700 | src.utilities.utils | INFO | Model failed with seasonal order 12: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:42.393313+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:42.498182+0700 | src.utilities.utils | INFO | Model failed with seasonal order 6: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:42.515797+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:42.537198+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:42.710734+0700 | src.utilities.utils | INFO | Model failed with seasonal order 6: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:42.736286+0700 | src.utilities.utils | INFO | Model failed with seasonal order 3: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:42.739561+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:42.784796+0700 | src.utilities.utils | INFO | Model failed with seasonal order 12: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:42.949579+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:42.967073+0700 | src.utilities.utils | INFO | Model failed with seasonal order 6: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:42.977316+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:43.042965+0700 | src.utilities.utils | INFO | Model failed with seasonal order 2: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:43.043063+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:43.064361+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:43.182731+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:44.229665+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:44.260035+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:44.280521+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:44.305854+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:44.367339+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:44.397900+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:44.418824+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:44.444248+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:44.533981+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:44.613092+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:46.809246+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:46.865498+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:46.885757+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:49.063143+0700 | __main__ | INFO | Running 5/12 → COLUMN=AVG Total EA, STORAGE_TYPE=All, OUTLIER=True
2025-03-23T23:48:49.394655+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:49.856777+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:49.881286+0700 | src.utilities.utils | INFO | Model failed with seasonal order 4: too many indices for array: array is 0-dimensional, but 1 were indexed
2025-03-23T23:48:50.719849+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:50.758295+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:50.783376+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:50.811380+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
2025-03-23T23:48:50.832001+0700 | src.utilities.utils | INFO | No valid SARIMAX model could be trained. Consider removing seasonality.
